wins_home_prev,wins_away_prev,wins_diff_prev,losses_home_prev,losses_away_prev,losses_diff_prev,goals_home_prev,goals_away_prev,goals_diff_prev,total_yel_card_home_prev,total_yel_card_away_prev,total_yel_card_diff_prev,total_red_card_home_prev,total_red_card_away_prev,total_red_card_diff_prev,total_scoring_att_home_prev,total_scoring_att_away_prev,total_scoring_att_diff_prev,ontarget_scoring_att_home_prev,ontarget_scoring_att_away_prev,ontarget_scoring_att_diff_prev,hit_woodwork_home_prev,hit_woodwork_away_prev,hit_woodwork_diff_prev,att_hd_goal_home_prev,att_hd_goal_away_prev,att_hd_goal_diff_prev,att_pen_goal_home_prev,att_pen_goal_away_prev,att_pen_goal_diff_prev,att_freekick_goal_home_prev,att_freekick_goal_away_prev,att_freekick_goal_diff_prev,att_ibox_goal_home_prev,att_ibox_goal_away_prev,att_ibox_goal_diff_prev,att_obox_goal_home_prev,att_obox_goal_away_prev,att_obox_goal_diff_prev,goal_fastbreak_home_prev,goal_fastbreak_away_prev,goal_fastbreak_diff_prev,total_offside_home_prev,total_offside_away_prev,total_offside_diff_prev,clean_sheet_home_prev,clean_sheet_away_prev,clean_sheet_diff_prev,goals_conceded_home_prev,goals_conceded_away_prev,goals_conceded_diff_prev,saves_home_prev,saves_away_prev,saves_diff_prev,outfielder_block_home_prev,outfielder_block_away_prev,outfielder_block_diff_prev,interception_home_prev,interception_away_prev,interception_diff_prev,total_tackle_home_prev,total_tackle_away_prev,total_tackle_diff_prev,last_man_tackle_home_prev,last_man_tackle_away_prev,last_man_tackle_diff_prev,total_clearance_home_prev,total_clearance_away_prev,total_clearance_diff_prev,head_clearance_home_prev,head_clearance_away_prev,head_clearance_diff_prev,own_goals_home_prev,own_goals_away_prev,own_goals_diff_prev,penalty_conceded_home_prev,penalty_conceded_away_prev,penalty_conceded_diff_prev,pen_goals_conceded_home_prev,pen_goals_conceded_away_prev,pen_goals_conceded_diff_prev,total_pass_home_prev,total_pass_away_prev,total_pass_diff_prev,total_through_ball_home_prev,total_through_ball_away_prev,total_through_ball_diff_prev,total_long_balls_home_prev,total_long_balls_away_prev,total_long_balls_diff_prev,backward_pass_home_prev,backward_pass_away_prev,backward_pass_diff_prev,total_cross_home_prev,total_cross_away_prev,total_cross_diff_prev,corner_taken_home_prev,corner_taken_away_prev,corner_taken_diff_prev,touches_home_prev,touches_away_prev,touches_diff_prev,big_chance_missed_home_prev,big_chance_missed_away_prev,big_chance_missed_diff_prev,clearance_off_line_home_prev,clearance_off_line_away_prev,clearance_off_line_diff_prev,dispossessed_home_prev,dispossessed_away_prev,dispossessed_diff_prev,penalty_save_home_prev,penalty_save_away_prev,penalty_save_diff_prev,total_high_claim_home_prev,total_high_claim_away_prev,total_high_claim_diff_prev,punches_home_prev,punches_away_prev,punches_diff_prev,season,home_team,away_team,result
23.0,12.0,11.0,9.0,18.0,-9.0,77.0,48.0,29.0,68.0,72.0,-4.0,3.0,1.0,2.0,566.0,433.0,133.0,201.0,145.0,56.0,17.0,8.0,9.0,17.0,10.0,7.0,4.0,4.0,0.0,2.0,1.0,1.0,70.0,39.0,31.0,7.0,9.0,-2.0,2.0,4.0,-2.0,95.0,65.0,30.0,13.0,9.0,4.0,44.0,63.0,-19.0,124.0,131.0,-7.0,95.0,141.0,-46.0,536.0,538.0,-2.0,673.0,677.0,-4.0,5.0,3.0,2.0,838.0,1025.0,-187.0,484.0,567.0,-83.0,1.0,2.0,-1.0,10.0,4.0,6.0,10.0,4.0,6.0,21394.0,13671.0,7723.0,129.0,25.0,104.0,1979.0,2792.0,-813.0,2835.0,1916.0,919.0,697.0,731.0,-34.0,227.0,197.0,30.0,28931.0,21051.0,7880.0,41.0,29.0,12.0,1.0,2.0,-1.0,465.0,310.0,155.0,0.0,0.0,0.0,36.0,45.0,-9.0,10.0,16.0,-6.0,2017-2018,Arsenal,Leicester City,H
11.0,22.0,-11.0,20.0,6.0,14.0,40.0,78.0,-38.0,84.0,54.0,30.0,5.0,0.0,5.0,422.0,640.0,-218.0,143.0,236.0,-93.0,7.0,18.0,-11.0,9.0,12.0,-3.0,3.0,7.0,-4.0,0.0,3.0,-3.0,36.0,65.0,-29.0,4.0,13.0,-9.0,0.0,3.0,-3.0,61.0,77.0,-16.0,7.0,12.0,-5.0,68.0,42.0,26.0,121.0,73.0,48.0,140.0,65.0,75.0,512.0,410.0,102.0,618.0,719.0,-101.0,0.0,2.0,-2.0,1016.0,877.0,139.0,494.0,451.0,43.0,2.0,0.0,2.0,4.0,5.0,-1.0,3.0,3.0,0.0,14049.0,22290.0,-8241.0,22.0,57.0,-35.0,2600.0,2565.0,35.0,2200.0,3291.0,-1091.0,686.0,812.0,-126.0,164.0,249.0,-85.0,21547.0,30071.0,-8524.0,25.0,35.0,-10.0,3.0,0.0,3.0,390.0,472.0,-82.0,1.0,2.0,-1.0,53.0,36.0,17.0,35.0,26.0,9.0,2017-2018,Watford,Liverpool,D
30.0,11.0,19.0,5.0,20.0,-15.0,85.0,39.0,46.0,72.0,65.0,7.0,0.0,2.0,-2.0,580.0,391.0,189.0,204.0,120.0,84.0,17.0,5.0,12.0,8.0,4.0,4.0,2.0,6.0,-4.0,3.0,3.0,0.0,73.0,31.0,42.0,12.0,8.0,4.0,7.0,2.0,5.0,64.0,101.0,-37.0,16.0,10.0,6.0,33.0,55.0,-22.0,69.0,151.0,-82.0,78.0,221.0,-143.0,510.0,539.0,-29.0,652.0,638.0,14.0,0.0,2.0,-2.0,839.0,1233.0,-394.0,500.0,698.0,-198.0,1.0,2.0,-1.0,2.0,5.0,-3.0,2.0,4.0,-2.0,20125.0,12558.0,7567.0,103.0,21.0,82.0,2399.0,3176.0,-777.0,2967.0,1888.0,1079.0,688.0,650.0,38.0,218.0,149.0,69.0,27658.0,19776.0,7882.0,32.0,18.0,14.0,3.0,6.0,-3.0,436.0,334.0,102.0,0.0,1.0,-1.0,38.0,29.0,9.0,18.0,14.0,4.0,2017-2018,Chelsea,Burnley,A
12.0,0.0,12.0,21.0,0.0,21.0,50.0,0.0,50.0,77.0,0.0,77.0,0.0,0.0,0.0,439.0,0.0,439.0,138.0,0.0,138.0,8.0,0.0,8.0,13.0,0.0,13.0,4.0,0.0,4.0,0.0,0.0,0.0,48.0,0.0,48.0,2.0,0.0,2.0,0.0,0.0,0.0,55.0,0.0,55.0,7.0,0.0,7.0,63.0,0.0,63.0,108.0,0.0,108.0,125.0,0.0,125.0,553.0,0.0,553.0,699.0,0.0,699.0,4.0,0.0,4.0,1022.0,0.0,1022.0,557.0,0.0,557.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,13542.0,0.0,13542.0,20.0,0.0,20.0,2729.0,0.0,2729.0,2108.0,0.0,2108.0,872.0,0.0,872.0,203.0,0.0,203.0,21533.0,0.0,21533.0,27.0,0.0,27.0,7.0,0.0,7.0,496.0,0.0,496.0,0.0,0.0,0.0,56.0,0.0,56.0,12.0,0.0,12.0,2017-2018,Crystal Palace,Huddersfield Town,A
17.0,11.0,6.0,11.0,16.0,-5.0,62.0,41.0,21.0,72.0,70.0,2.0,2.0,2.0,0.0,502.0,425.0,77.0,191.0,137.0,54.0,12.0,14.0,-2.0,13.0,7.0,6.0,3.0,4.0,-1.0,2.0,2.0,0.0,59.0,36.0,23.0,3.0,5.0,-2.0,2.0,0.0,2.0,82.0,85.0,-3.0,13.0,11.0,2.0,44.0,56.0,-12.0,96.0,127.0,-31.0,149.0,159.0,-10.0,461.0,497.0,-36.0,712.0,666.0,46.0,6.0,3.0,3.0,1118.0,1009.0,109.0,628.0,505.0,123.0,1.0,5.0,-4.0,6.0,3.0,3.0,3.0,1.0,2.0,17586.0,14558.0,3028.0,38.0,54.0,-16.0,2968.0,2507.0,461.0,2744.0,2170.0,574.0,767.0,718.0,49.0,196.0,188.0,8.0,25309.0,22087.0,3222.0,28.0,41.0,-13.0,9.0,5.0,4.0,469.0,415.0,54.0,2.0,1.0,1.0,56.0,40.0,16.0,19.0,23.0,-4.0,2017-2018,Everton,Stoke City,H
12.0,12.0,0.0,16.0,21.0,-5.0,41.0,45.0,-4.0,59.0,56.0,3.0,2.0,0.0,2.0,550.0,405.0,145.0,179.0,145.0,34.0,12.0,10.0,2.0,4.0,15.0,-11.0,3.0,3.0,0.0,0.0,2.0,-2.0,37.0,40.0,-3.0,4.0,5.0,-1.0,0.0,1.0,-1.0,73.0,49.0,24.0,14.0,8.0,6.0,48.0,70.0,-22.0,76.0,121.0,-45.0,128.0,136.0,-8.0,514.0,459.0,55.0,675.0,635.0,40.0,1.0,1.0,0.0,914.0,1037.0,-123.0,505.0,539.0,-34.0,1.0,5.0,-4.0,9.0,9.0,0.0,6.0,6.0,0.0,18245.0,16131.0,2114.0,57.0,15.0,42.0,2336.0,2579.0,-243.0,2784.0,2495.0,289.0,947.0,864.0,83.0,198.0,196.0,2.0,25881.0,23728.0,2153.0,34.0,25.0,9.0,4.0,2.0,2.0,455.0,446.0,9.0,1.0,1.0,0.0,26.0,72.0,-46.0,12.0,16.0,-4.0,2017-2018,Southampton,Swansea City,D
12.0,12.0,0.0,17.0,16.0,1.0,43.0,55.0,-12.0,80.0,52.0,28.0,0.0,3.0,-3.0,399.0,452.0,-53.0,123.0,160.0,-37.0,11.0,19.0,-8.0,16.0,5.0,11.0,1.0,7.0,-6.0,1.0,0.0,1.0,37.0,51.0,-14.0,6.0,5.0,1.0,3.0,2.0,1.0,59.0,53.0,6.0,6.0,10.0,-4.0,51.0,67.0,-16.0,116.0,123.0,-7.0,150.0,150.0,0.0,537.0,460.0,77.0,605.0,604.0,1.0,0.0,1.0,-1.0,999.0,1092.0,-93.0,577.0,616.0,-39.0,1.0,5.0,-4.0,3.0,5.0,-2.0,3.0,2.0,1.0,11825.0,17152.0,-5327.0,37.0,51.0,-14.0,2653.0,2461.0,192.0,1798.0,2651.0,-853.0,766.0,628.0,138.0,159.0,193.0,-34.0,19042.0,24801.0,-5759.0,24.0,31.0,-7.0,3.0,4.0,-1.0,445.0,439.0,6.0,0.0,2.0,-2.0,53.0,36.0,17.0,10.0,21.0,-11.0,2017-2018,West Bromwich Albion,AFC Bournemouth,H
0.0,23.0,-23.0,0.0,6.0,-6.0,0.0,80.0,-80.0,0.0,71.0,-71.0,0.0,4.0,-4.0,0.0,633.0,-633.0,0.0,216.0,-216.0,0.0,20.0,-20.0,0.0,8.0,-8.0,0.0,7.0,-7.0,0.0,2.0,-2.0,0.0,73.0,-73.0,0.0,7.0,-7.0,0.0,6.0,-6.0,0.0,89.0,-89.0,0.0,12.0,-12.0,0.0,39.0,-39.0,0.0,64.0,-64.0,0.0,66.0,-66.0,0.0,504.0,-504.0,0.0,643.0,-643.0,0.0,0.0,0.0,0.0,905.0,-905.0,0.0,544.0,-544.0,0.0,1.0,-1.0,0.0,5.0,-5.0,0.0,2.0,-2.0,0.0,22706.0,-22706.0,0.0,124.0,-124.0,0.0,1997.0,-1997.0,0.0,3534.0,-3534.0,0.0,801.0,-801.0,0.0,280.0,-280.0,0.0,30363.0,-30363.0,0.0,48.0,-48.0,0.0,4.0,-4.0,0.0,465.0,-465.0,0.0,2.0,-2.0,0.0,26.0,-26.0,0.0,20.0,-20.0,2017-2018,Brighton and Hove Albion,Manchester City,A
0.0,26.0,-26.0,0.0,4.0,-4.0,0.0,86.0,-86.0,0.0,62.0,-62.0,0.0,0.0,0.0,0.0,669.0,-669.0,0.0,257.0,-257.0,0.0,22.0,-22.0,0.0,10.0,-10.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,74.0,-74.0,0.0,12.0,-12.0,0.0,3.0,-3.0,0.0,74.0,-74.0,0.0,17.0,-17.0,0.0,26.0,-26.0,0.0,85.0,-85.0,0.0,99.0,-99.0,0.0,314.0,-314.0,0.0,661.0,-661.0,0.0,1.0,-1.0,0.0,1003.0,-1003.0,0.0,526.0,-526.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,2.0,-2.0,0.0,20150.0,-20150.0,0.0,45.0,-45.0,0.0,2662.0,-2662.0,0.0,3130.0,-3130.0,0.0,761.0,-761.0,0.0,273.0,-273.0,0.0,28150.0,-28150.0,0.0,41.0,-41.0,0.0,1.0,-1.0,0.0,484.0,-484.0,0.0,0.0,0.0,0.0,21.0,-21.0,0.0,11.0,-11.0,2017-2018,Newcastle United,Tottenham Hotspur,A
18.0,12.0,6.0,5.0,17.0,-12.0,54.0,47.0,7.0,78.0,78.0,0.0,2.0,5.0,-3.0,591.0,499.0,92.0,210.0,138.0,72.0,19.0,14.0,5.0,9.0,14.0,-5.0,3.0,3.0,0.0,1.0,3.0,-2.0,47.0,41.0,6.0,7.0,6.0,1.0,5.0,3.0,2.0,99.0,74.0,25.0,17.0,10.0,7.0,29.0,64.0,-35.0,85.0,117.0,-32.0,99.0,112.0,-13.0,584.0,614.0,-30.0,690.0,574.0,116.0,4.0,4.0,0.0,1112.0,1074.0,38.0,580.0,625.0,-45.0,1.0,0.0,1.0,5.0,8.0,-3.0,4.0,5.0,-1.0,20245.0,15127.0,5118.0,99.0,37.0,62.0,2424.0,2622.0,-198.0,3177.0,2312.0,865.0,848.0,752.0,96.0,217.0,172.0,45.0,28119.0,22666.0,5453.0,50.0,24.0,26.0,1.0,3.0,-2.0,389.0,367.0,22.0,1.0,1.0,0.0,32.0,47.0,-15.0,4.0,11.0,-7.0,2017-2018,Manchester United,West Ham United,H
