home_team,away_team,home_goals,away_goals,result,season
Hull City,Leicester City,2.0,1.0,H,2016-2017
Burnley,Swansea City,0.0,1.0,A,2016-2017
Crystal Palace,West Bromwich Albion,0.0,1.0,A,2016-2017
Everton,Tottenham Hotspur,1.0,1.0,D,2016-2017
Middlesbrough,Stoke City,1.0,1.0,D,2016-2017
Southampton,Watford,1.0,1.0,D,2016-2017
Manchester City,Sunderland,2.0,1.0,H,2016-2017
AFC Bournemouth,Manchester United,1.0,3.0,A,2016-2017
Arsenal,Liverpool,3.0,4.0,A,2016-2017
Chelsea,West Ham United,2.0,1.0,H,2016-2017
Manchester United,Southampton,2.0,0.0,H,2016-2017
Stoke City,Manchester City,1.0,4.0,A,2016-2017
Burnley,Liverpool,2.0,0.0,H,2016-2017
Swansea City,Hull City,0.0,2.0,A,2016-2017
Tottenham Hotspur,Crystal Palace,1.0,0.0,H,2016-2017
Watford,Chelsea,1.0,2.0,A,2016-2017
West Bromwich Albion,Everton,1.0,2.0,A,2016-2017
Leicester City,Arsenal,0.0,0.0,D,2016-2017
Sunderland,Middlesbrough,1.0,2.0,A,2016-2017
West Ham United,AFC Bournemouth,1.0,0.0,H,2016-2017
Tottenham Hotspur,Liverpool,1.0,1.0,D,2016-2017
Chelsea,Burnley,3.0,0.0,H,2016-2017
Crystal Palace,AFC Bournemouth,1.0,1.0,D,2016-2017
Everton,Stoke City,1.0,0.0,H,2016-2017
Leicester City,Swansea City,2.0,1.0,H,2016-2017
Southampton,Sunderland,1.0,1.0,D,2016-2017
Watford,Arsenal,1.0,3.0,A,2016-2017
Hull City,Manchester United,0.0,1.0,A,2016-2017
West Bromwich Albion,Middlesbrough,0.0,0.0,D,2016-2017
Manchester City,West Ham United,3.0,1.0,H,2016-2017
Manchester United,Manchester City,1.0,2.0,A,2016-2017
Arsenal,Southampton,2.0,1.0,H,2016-2017
AFC Bournemouth,West Bromwich Albion,1.0,0.0,H,2016-2017
Burnley,Hull City,1.0,1.0,D,2016-2017
Middlesbrough,Crystal Palace,1.0,2.0,A,2016-2017
Stoke City,Tottenham Hotspur,0.0,4.0,A,2016-2017
West Ham United,Watford,2.0,4.0,A,2016-2017
Liverpool,Leicester City,4.0,1.0,H,2016-2017
Swansea City,Chelsea,2.0,2.0,D,2016-2017
Sunderland,Everton,0.0,3.0,A,2016-2017
Chelsea,Liverpool,1.0,2.0,A,2016-2017
Hull City,Arsenal,1.0,4.0,A,2016-2017
Leicester City,Burnley,3.0,0.0,H,2016-2017
Manchester City,AFC Bournemouth,4.0,0.0,H,2016-2017
West Bromwich Albion,West Ham United,4.0,2.0,H,2016-2017
Everton,Middlesbrough,3.0,1.0,H,2016-2017
Watford,Manchester United,3.0,1.0,H,2016-2017
Crystal Palace,Stoke City,4.0,1.0,H,2016-2017
Southampton,Swansea City,1.0,0.0,H,2016-2017
Tottenham Hotspur,Sunderland,1.0,0.0,H,2016-2017
Manchester United,Leicester City,4.0,1.0,H,2016-2017
AFC Bournemouth,Everton,1.0,0.0,H,2016-2017
Liverpool,Hull City,5.0,1.0,H,2016-2017
Middlesbrough,Tottenham Hotspur,1.0,2.0,A,2016-2017
Stoke City,West Bromwich Albion,1.0,1.0,D,2016-2017
Sunderland,Crystal Palace,2.0,3.0,A,2016-2017
Swansea City,Manchester City,1.0,3.0,A,2016-2017
Arsenal,Chelsea,3.0,0.0,H,2016-2017
West Ham United,Southampton,0.0,3.0,A,2016-2017
Burnley,Watford,2.0,0.0,H,2016-2017
Everton,Crystal Palace,1.0,1.0,D,2016-2017
Swansea City,Liverpool,1.0,2.0,A,2016-2017
Hull City,Chelsea,0.0,2.0,A,2016-2017
Sunderland,West Bromwich Albion,1.0,1.0,D,2016-2017
Watford,AFC Bournemouth,2.0,2.0,D,2016-2017
West Ham United,Middlesbrough,1.0,1.0,D,2016-2017
Manchester United,Stoke City,1.0,1.0,D,2016-2017
Leicester City,Southampton,0.0,0.0,D,2016-2017
Tottenham Hotspur,Manchester City,2.0,0.0,H,2016-2017
Burnley,Arsenal,0.0,1.0,A,2016-2017
Chelsea,Leicester City,3.0,0.0,H,2016-2017
Arsenal,Swansea City,3.0,2.0,H,2016-2017
AFC Bournemouth,Hull City,6.0,1.0,H,2016-2017
Manchester City,Everton,1.0,1.0,D,2016-2017
Stoke City,Sunderland,2.0,0.0,H,2016-2017
West Bromwich Albion,Tottenham Hotspur,1.0,1.0,D,2016-2017
Crystal Palace,West Ham United,0.0,1.0,A,2016-2017
Middlesbrough,Watford,0.0,1.0,A,2016-2017
Southampton,Burnley,3.0,1.0,H,2016-2017
Liverpool,Manchester United,0.0,0.0,D,2016-2017
AFC Bournemouth,Tottenham Hotspur,0.0,0.0,D,2016-2017
Arsenal,Middlesbrough,0.0,0.0,D,2016-2017
Burnley,Everton,2.0,1.0,H,2016-2017
Hull City,Stoke City,0.0,2.0,A,2016-2017
Leicester City,Crystal Palace,3.0,1.0,H,2016-2017
Swansea City,Watford,0.0,0.0,D,2016-2017
West Ham United,Sunderland,1.0,0.0,H,2016-2017
Liverpool,West Bromwich Albion,2.0,1.0,H,2016-2017
Manchester City,Southampton,1.0,1.0,D,2016-2017
Chelsea,Manchester United,4.0,0.0,H,2016-2017
Sunderland,Arsenal,1.0,4.0,A,2016-2017
Manchester United,Burnley,0.0,0.0,D,2016-2017
Middlesbrough,AFC Bournemouth,2.0,0.0,H,2016-2017
Tottenham Hotspur,Leicester City,1.0,1.0,D,2016-2017
Watford,Hull City,1.0,0.0,H,2016-2017
West Bromwich Albion,Manchester City,0.0,4.0,A,2016-2017
Crystal Palace,Liverpool,2.0,4.0,A,2016-2017
Everton,West Ham United,2.0,0.0,H,2016-2017
Southampton,Chelsea,0.0,2.0,A,2016-2017
Stoke City,Swansea City,3.0,1.0,H,2016-2017
AFC Bournemouth,Sunderland,1.0,2.0,A,2016-2017
Burnley,Crystal Palace,3.0,2.0,H,2016-2017
Manchester City,Middlesbrough,1.0,1.0,D,2016-2017
West Ham United,Stoke City,1.0,1.0,D,2016-2017
Chelsea,Everton,5.0,0.0,H,2016-2017
Arsenal,Tottenham Hotspur,1.0,1.0,D,2016-2017
Hull City,Southampton,2.0,1.0,H,2016-2017
Liverpool,Watford,6.0,1.0,H,2016-2017
Swansea City,Manchester United,1.0,3.0,A,2016-2017
Leicester City,West Bromwich Albion,1.0,2.0,A,2016-2017
Manchester United,Arsenal,1.0,1.0,D,2016-2017
Crystal Palace,Manchester City,1.0,2.0,A,2016-2017
Everton,Swansea City,1.0,1.0,D,2016-2017
Southampton,Liverpool,0.0,0.0,D,2016-2017
Stoke City,AFC Bournemouth,0.0,1.0,A,2016-2017
Sunderland,Hull City,3.0,0.0,H,2016-2017
Watford,Leicester City,2.0,1.0,H,2016-2017
Tottenham Hotspur,West Ham United,3.0,2.0,H,2016-2017
Middlesbrough,Chelsea,0.0,1.0,A,2016-2017
West Bromwich Albion,Burnley,4.0,0.0,H,2016-2017
Burnley,Manchester City,1.0,2.0,A,2016-2017
Hull City,West Bromwich Albion,1.0,1.0,D,2016-2017
Leicester City,Middlesbrough,2.0,2.0,D,2016-2017
Liverpool,Sunderland,2.0,0.0,H,2016-2017
Swansea City,Crystal Palace,5.0,4.0,H,2016-2017
Chelsea,Tottenham Hotspur,2.0,1.0,H,2016-2017
Watford,Stoke City,0.0,1.0,A,2016-2017
Arsenal,AFC Bournemouth,3.0,1.0,H,2016-2017
Manchester United,West Ham United,1.0,1.0,D,2016-2017
Southampton,Everton,1.0,0.0,H,2016-2017
Manchester City,Chelsea,1.0,3.0,A,2016-2017
Crystal Palace,Southampton,3.0,0.0,H,2016-2017
Stoke City,Burnley,2.0,0.0,H,2016-2017
Sunderland,Leicester City,2.0,1.0,H,2016-2017
Tottenham Hotspur,Swansea City,5.0,0.0,H,2016-2017
West Bromwich Albion,Watford,3.0,1.0,H,2016-2017
West Ham United,Arsenal,1.0,5.0,A,2016-2017
AFC Bournemouth,Liverpool,4.0,3.0,H,2016-2017
Everton,Manchester United,1.0,1.0,D,2016-2017
Middlesbrough,Hull City,1.0,0.0,H,2016-2017
Watford,Everton,3.0,2.0,H,2016-2017
Arsenal,Stoke City,3.0,1.0,H,2016-2017
Burnley,AFC Bournemouth,3.0,2.0,H,2016-2017
Hull City,Crystal Palace,3.0,3.0,D,2016-2017
