team,expected_points
Manchester United,57
Watford,57
Birmingham City,57
Derby County,57
Stoke City,57
Hull City,57
West Bromwich Albion,57
Wolverhampton Wanderers,57
Burnley,57
Blackpool,57
Norwich City,57
Swansea City,57
Queens Park Rangers,57
Southampton,57
Crystal Palace,57
Cardiff City,57
Leicester City,57
Sunderland,57
Fulham,57
Chelsea,57
Charlton Athletic,57
Liverpool,57
Arsenal,57
Tottenham Hotspur,57
Bolton Wanderers,57
Reading,57
Blackburn Rovers,57
Everton,57
Portsmouth,57
Middlesbrough,57
West Ham United,57
Aston Villa,57
Manchester City,57
Newcastle United,57
Sheffield United,57
Wigan Athletic,57
AFC Bournemouth,57
