home_team,away_team,season,prediction,prediction_letter,prob_home,prob_draw,prob_away
Watford,AFC Bournemouth,2017-2018,Home,H,0.3699464499950409,0.26660987734794617,0.36344364285469055
Watford,Leicester City,2017-2018,Home,H,0.38654813170433044,0.2987740933895111,0.31467780470848083
Watford,Manchester United,2017-2018,Away,A,0.24437323212623596,0.23696449398994446,0.5186622738838196
Watford,Burnley,2017-2018,Home,H,0.42659610509872437,0.3110226094722748,0.2623812258243561
Watford,Brighton and Hove Albion,2017-2018,Home,H,0.5077029466629028,0.2234707623720169,0.26882627606391907
Watford,Manchester City,2017-2018,Away,A,0.21700018644332886,0.22139960527420044,0.5616002082824707
Watford,Everton,2017-2018,Away,A,0.30316394567489624,0.2827272117137909,0.41410884261131287
Watford,West Bromwich Albion,2017-2018,Home,H,0.43441033363342285,0.2994716763496399,0.2661179304122925
Watford,Huddersfield Town,2017-2018,Home,H,0.5077029466629028,0.2234707623720169,0.26882627606391907
Watford,Newcastle United,2017-2018,Home,H,0.41359758377075195,0.3005616366863251,0.2858407199382782
Watford,Arsenal,2017-2018,Away,A,0.22404828667640686,0.22410660982131958,0.5518450736999512
Watford,Swansea City,2017-2018,Home,H,0.4158891439437866,0.2653287947177887,0.3187820315361023
Watford,Liverpool,2017-2018,Away,A,0.2157842218875885,0.2145654857158661,0.5696502327919006
Watford,Tottenham Hotspur,2017-2018,Away,A,0.21604019403457642,0.22084492444992065,0.5631149411201477
Watford,Chelsea,2017-2018,Away,A,0.24056978523731232,0.22303777933120728,0.5363924503326416
Watford,Crystal Palace,2017-2018,Home,H,0.39926663041114807,0.28259217739105225,0.31814122200012207
Watford,Southampton,2017-2018,Away,A,0.31657275557518005,0.26140525937080383,0.4220220446586609
Watford,West Ham United,2017-2018,Home,H,0.3986092805862427,0.28913193941116333,0.312258780002594
Watford,Stoke City,2017-2018,Home,H,0.3901488780975342,0.3160906434059143,0.2937604784965515
AFC Bournemouth,Watford,2017-2018,Home,H,0.522551417350769,0.25295960903167725,0.2244889736175537
AFC Bournemouth,Leicester City,2017-2018,Home,H,0.4485693871974945,0.2949661910533905,0.2564643919467926
AFC Bournemouth,Manchester United,2017-2018,Away,A,0.28660133481025696,0.2494376003742218,0.46396109461784363
AFC Bournemouth,Burnley,2017-2018,Home,H,0.5075215101242065,0.2815307378768921,0.21094772219657898
