team,expected_points
Manchester City,71.58513130247593
Tottenham Hotspur,71.57429970800877
Liverpool,71.07092680037022
Arsenal,66.67217934131622
Chelsea,65.74677041172981
Manchester United,64.79578348994255
Everton,54.37742903828621
Southampton,53.269177943468094
AFC Bournemouth,48.552463471889496
Crystal Palace,45.56618803739548
Stoke City,45.282528176903725
Leicester City,44.79275608062744
West Ham United,43.788359612226486
Swansea City,43.415277153253555
Newcastle United,43.12913727760315
West Bromwich Albion,42.80067413300276
Watford,41.94665528833866
Burnley,41.81864433735609
Huddersfield Town,41.28658036142588
Brighton and Hove Albion,41.28658036142588
